Data 1: Genesis Block,Current Hash:  89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3,Previous Hash:   0
"Data 2: [[B, 2, Account, 76654, C, 0.007979154586791992], [D, 0, Account, 5352437, E, 0.007979154586791992], [A, 1, Account, 41815, E, 0.008975744247436523], [C, 1, Account, 11716, E, 0.008975744247436523]]",Current Hash:  f436db39b5c98836316918dadfbc8d7200431944ddde77587c86efb3243e2a15,Previous Hash:   89eb0ac031a63d2421cd05a2fbe41f3ea35f5c3712ca839cbf6b85c4ee07b7a3
"Data 3: [[A, 1, Credit, 94499, E, 0.008975744247436523], [C, 1, Account, 85209, E, 0.008975744247436523], [D, 1, Credit, 97202, E, 0.008975744247436523], [B, 1, Credit, 35762, E, 0.008975744247436523]]",Current Hash:  ae5c5a40e013324054aa6928a83cb7480e53c4104fe13cbb5dc176ee7193a961,Previous Hash:   f436db39b5c98836316918dadfbc8d7200431944ddde77587c86efb3243e2a15
"Data 4: [[D, 0, Credit, 687137, E, 0.009973287582397461], [C, 0, Credit, 589417, E, 0.009973287582397461]]",Current Hash:  4dd87bfb22103493441d2efe37ff58ac3e277c48ddad2cd163cd14c69c2429cf,Previous Hash:   ae5c5a40e013324054aa6928a83cb7480e53c4104fe13cbb5dc176ee7193a961
"Data 5: [[B, 1, Account, 13988, E, 0.010970592498779297], [C, 0, Credit, 73796, E, 0.010970592498779297], [D, 1, Account, 57660, E, 0.010970592498779297], [A, 1, Account, 86719, E, 0.010970592498779297]]",Current Hash:  2d014f3cf861d4efbb9c16ebfd04903d270bc1bb0849c2f37803faa4e3189c8e,Previous Hash:   4dd87bfb22103493441d2efe37ff58ac3e277c48ddad2cd163cd14c69c2429cf
"Data 6: [[B, 1, Account, 16216, E, 0.011967897415161133], [C, 1, Credit, 50910, E, 0.011967897415161133]]",Current Hash:  6af1d1196c6fdde103caa72be78d3ffed8e45d2b25bd1123dce0bbaec049ad76,Previous Hash:   2d014f3cf861d4efbb9c16ebfd04903d270bc1bb0849c2f37803faa4e3189c8e
"Data 7: [[A, 1, Credit, 92270, E, 0.011967897415161133], [B, 0, Account, 307855, E, 0.011967897415161133], [C, 2, Credit, 234897, A, 0.011967897415161133]]",Current Hash:  d5d1dd170219a73f43c9c659ad18ea08a9999c1ef496f0449fc89eb963e03f73,Previous Hash:   6af1d1196c6fdde103caa72be78d3ffed8e45d2b25bd1123dce0bbaec049ad76
"Data 8: [[D, 0, Credit, 3641390, E, 0.01296544075012207], [B, 1, Credit, 67190, E, 0.01296544075012207], [C, 2, Account, 1610925, B, 0.01296544075012207]]",Current Hash:  a092dcb020859b35700ea900dda5cf481a74d8298d72f6aadf5e7d9a0808e4cb,Previous Hash:   d5d1dd170219a73f43c9c659ad18ea08a9999c1ef496f0449fc89eb963e03f73
"Data 9: [[B, 1, Account, 9334, E, 0.01296544075012207], [C, 1, Credit, 55802, E, 0.01296544075012207], [D, 2, Credit, 3311758, A, 0.01296544075012207], [A, 1, Account, 75347, E, 0.013962745666503906]]",Current Hash:  be6a1188e21e87e20b3afd9b600443ce988b472c09cf760dee9a64cb37d47981,Previous Hash:   a092dcb020859b35700ea900dda5cf481a74d8298d72f6aadf5e7d9a0808e4cb
"Data 10: [[B, 2, Account, 573632, D, 0.013962745666503906]]",Current Hash:  1773301c9dc26dfd0257c8734fff19fa99d25476c86fcd9f1981a1929808301c,Previous Hash:   be6a1188e21e87e20b3afd9b600443ce988b472c09cf760dee9a64cb37d47981
"Data 11: [[A, 1, Account, 88007, E, 0.013962745666503906], [C, 1, Credit, 23799, E, 0.013962745666503906]]",Current Hash:  aca7a31e8ef37110369e98e57709dd4e20d505e8085966e4877a9a7ed2c77c78,Previous Hash:   1773301c9dc26dfd0257c8734fff19fa99d25476c86fcd9f1981a1929808301c
"Data 12: [[A, 2, Account, 178505, B, 0.015957355499267578]]",Current Hash:  e9b29789f2bdb9cb6a69871f258c6ae4ab174c5083f6a32fe81a994adcd10d9b,Previous Hash:   aca7a31e8ef37110369e98e57709dd4e20d505e8085966e4877a9a7ed2c77c78
"Data 13: [[A, 0, Account, 150158, E, 0.015957355499267578]]",Current Hash:  6e726cbacffa1d17b0c09eb0b777fc5b8666910fdee0d70bbebd95fef460bd8d,Previous Hash:   e9b29789f2bdb9cb6a69871f258c6ae4ab174c5083f6a32fe81a994adcd10d9b
"Data 14: [[A, 0, Credit, 16524, E, 0.015957355499267578], [B, 2, Credit, 67615, A, 0.016954898834228516], [C, 1, Credit, 9983, E, 0.016954898834228516]]",Current Hash:  8ea7d03e8afc66b0bf3433ccb75fe3f0cb2e3b6401c81ff7782ed626f96c24c2,Previous Hash:   6e726cbacffa1d17b0c09eb0b777fc5b8666910fdee0d70bbebd95fef460bd8d
"Data 15: [[C, 2, Account, 471562, B, 0.016954898834228516], [D, 0, Credit, 1271412, E, 0.016954898834228516], [A, 0, Account, 1015219, E, 0.016954898834228516], [B, 2, Credit, 62267, C, 0.016954898834228516]]",Current Hash:  f66966bd99466a4183b6082521ae22c9f85bb1369647bfb1f143fa1086f2a27f,Previous Hash:   8ea7d03e8afc66b0bf3433ccb75fe3f0cb2e3b6401c81ff7782ed626f96c24c2
